Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
Und dann denk ich, dass es immer so weiter gehen wird, wie es jetzt ist.	Und dann ___ ich, ___ es ___ so ___ ___ ___ wie es jetzt ist.	Und dann <span class="learn">denk</span> ich, <span class="learn">dass</span> es <span class="learn">immer</span> so <span class="learn">weiter</span> <span class="learn">gehen</span> <span class="learn">wird,</span> wie es jetzt ist.	And then I think that it will go on forever , as it is now .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>dann</td><td>after that // in that case // next // then </td><td>then</td></tr><tr><td>denk</td><td></td><td>thinking</td></tr><tr><td>ich,</td><td></td><td>I ,</td></tr><tr><td>dass</td><td>lest [formal] [example: I was frightened lest he should fall.] // that </td><td>that</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>immer</td><td>all along // always // alway [archaic] // aye  [Scot., N.Engl. and N. Ireland dialect: always] // azways [Jam.] // e'er [poet.] [ever] // ever // forever // invariably // throughout </td><td>always</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>weiter</td><td>along // broader // continuing // farther // forward // further // in addition // on // onward // onwards // wider </td><td>more</td></tr><tr><td>gehen</td><td>to ambulate // to fare [archaic] [to go, travel] // to go // to pace // to walk </td><td>move</td></tr><tr><td>wird,</td><td></td><td>is</td></tr><tr><td>wie</td><td>as per // as // how // in common with // in the manner of // like // such as </td><td>as</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>ist.</td><td></td><td>s .</td></tr></table>	[sound:lola-000896000-000899160.mp4]
Und dass du dich nicht trauen wirst.	Und ___ du ___ nicht ___ wirst.	Und <span class="learn">dass</span> du <span class="learn">dich</span> nicht <span class="learn">trauen</span> wirst.	And you will not believe you.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>dass</td><td>lest [formal] [example: I was frightened lest he should fall.] // that </td><td>that</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>dich</td><td>thee [poet., archaic] [direct object] // ya [Am.] [coll.] [you] // yourself // you [direct object] [informal] </td><td>you</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>trauen</td><td>to marry [priest, registrar] </td><td>trust</td></tr><tr><td>wirst.</td><td></td><td>will .</td></tr></table>	[sound:lola-000900460-000902690.mp4]
Dann frag ich mich, was mach ich hier eigentlich?	Dann ___ ich mich, was mach ich ___ eigentlich?	Dann <span class="learn">frag</span> ich mich, was mach ich <span class="learn">hier</span> eigentlich?	Then I ask myself , what am I doing here ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dann</td><td></td><td>then</td></tr><tr><td>frag</td><td></td><td>question</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>mich,</td><td></td><td>me</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>mach</td><td></td><td>do</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>hier</td><td>here // herein // of our city // this is where </td><td>here</td></tr><tr><td>eigentlich?</td><td></td><td>really ?</td></tr></table>	[sound:lola-000912842-000915602.mp4]
Wie lange soll das noch so weitergehen? Diese Heimlichtuerei, diese verfluchte Verlogenheit.	Wie lange ___ das ___ so weitergehen? ___ Heimlichtuerei, ___ verfluchte Verlogenheit.	Wie lange <span class="learn">soll</span> das <span class="learn">noch</span> so weitergehen? <span class="learn">Diese</span> Heimlichtuerei, <span class="learn">diese</span> verfluchte Verlogenheit.	How long is this going to last? This secrecy , this damned hypocrisy .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wie</td><td></td><td>how</td></tr><tr><td>lange</td><td>a long time // at length [for a long time] // for a long time // for long // long </td><td>long</td></tr><tr><td>soll</td><td></td><td>to</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>noch</td><td>as yet // nor // still // yet [still] </td><td>more</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>weitergehen?</td><td></td><td>continue?</td></tr><tr><td>Diese</td><td></td><td>this</td></tr><tr><td>Heimlichtuerei,</td><td></td><td>secrecy ,</td></tr><tr><td>diese</td><td>dem [Jam.: them] // dem [sl.] [those] // them [coll.] [those] [nonstandard] // these // those </td><td>this</td></tr><tr><td>verfluchte</td><td></td><td>cursed</td></tr><tr><td>Verlogenheit.</td><td></td><td>Mendacity .</td></tr></table>	[sound:lola-000915672-000921132.mp4]
Soll ich alt werden und schlaflose Nächte haben? Wegen einem Mann, der nicht zu mir stehen will	___ ich ___ ___ und schlaflose Nächte ___ ___ ___ Mann, der nicht zu mir ___ ___	<span class="learn">Soll</span> ich <span class="learn">alt</span> <span class="learn">werden</span> und schlaflose Nächte <span class="learn">haben?</span> <span class="learn">Wegen</span> <span class="learn">einem</span> Mann, der nicht zu mir <span class="learn">stehen</span> <span class="learn">will</span>	Should I be old and have sleepless nights ? Because a man who does not want to stand by me	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Soll</td><td></td><td>should</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>alt</td><td>aged // anciently // antiquarian // antiquated // auld  [Scot.] // old // oldly // oul [Irish: old] </td><td>old</td></tr><tr><td>werden</td><td>to come [to become or seem to become] // to get [become, e.g. tired] // to grow [become gradually, e.g. old] </td><td>will</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>schlaflose</td><td></td><td>sleepless</td></tr><tr><td>Nächte</td><td></td><td>nights</td></tr><tr><td>haben?</td><td></td><td>have ?</td></tr><tr><td>Wegen</td><td></td><td>because</td></tr><tr><td>einem</td><td>an [masculine / neuter indirect object] // a {indefinite article} [masculine / neuter indirect object] // to one </td><td>a</td></tr><tr><td>Mann,</td><td></td><td>man,</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>mir</td><td>me [indirect object] // to me // us [coll.] [me] </td><td>me</td></tr><tr><td>stehen</td><td>to be stood [coll.] [to be standing] // to stand </td><td>are</td></tr><tr><td>will</td><td></td><td>wants</td></tr></table>	[sound:lola-000921213-000926313.mp4]
Ey! Brauchst du'n Fahrrad?	___ ___ du'n ___	<span class="learn">Ey!</span> <span class="learn">Brauchst</span> du'n <span class="learn">Fahrrad?</span>	Ey ! Need dun bike?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ey!</td><td></td><td>Ey !</td></tr><tr><td>Brauchst</td><td></td><td>need</td></tr><tr><td>du'n</td><td></td><td>dun</td></tr><tr><td>Fahrrad?</td><td></td><td>Bike?</td></tr></table>	[sound:lola-000964139-000966079.mp4]
Fünfzig Mark - is wie neu!	Fünfzig ___ -  is wie ___	Fünfzig <span class="learn">Mark</span> - is wie <span class="learn">neu!</span>	Fifty Mark  is like new!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Fünfzig</td><td></td><td>fifty</td></tr><tr><td>Mark</td><td></td><td>Mark</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>is</td><td></td><td>is</td></tr><tr><td>wie</td><td>as per // as // how // in common with // in the manner of // like // such as </td><td>as</td></tr><tr><td>neu!</td><td></td><td>new!</td></tr></table>	[sound:lola-000967909-000970209.mp4]
Nee!	___	<span class="learn">Nee!</span>	Nah !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Nee!</td><td>Nah! </td><td>Nah !</td></tr></table>	[sound:lola-000970820-000972250.mp4]
Ich weiß, ich weiß	Ich ___ ich ___	Ich <span class="learn">weiß,</span> ich <span class="learn">weiß</span>	I know, I know	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>weiß,</td><td></td><td>know</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>weiß</td><td>blank // whitely </td><td>white</td></tr></table>	[sound:lola-001023877-001026467.mp4]
Ich kann doch auch nichts dafür, dass es soviel ist.	Ich ___ doch auch ___ dafür, ___ es soviel ist.	Ich <span class="learn">kann</span> doch auch <span class="learn">nichts</span> dafür, <span class="learn">dass</span> es soviel ist.	But I can not help it that there is so much.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>kann</td><td></td><td>can</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>auch</td><td>also // as well // item  [archaic] // too [in addition, also] </td><td>also</td></tr><tr><td>nichts</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>nothing</td></tr><tr><td>dafür,</td><td></td><td>for</td></tr><tr><td>dass</td><td>lest [formal] [example: I was frightened lest he should fall.] // that </td><td>that</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>soviel</td><td></td><td>much</td></tr><tr><td>ist.</td><td></td><td>s .</td></tr></table>	[sound:lola-001026557-001029157.mp4]
Fünfhundert? Was soll ich mit fünfhundert Mark?	Fünfhundert? Was ___ ich mit fünfhundert ___	Fünfhundert? Was <span class="learn">soll</span> ich mit fünfhundert <span class="learn">Mark?</span>	Five hundred ? What should I do with five hundred marks ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Fünfhundert?</td><td></td><td>Five hundred ?</td></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>soll</td><td></td><td>to</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>mit</td><td>by // cum  [usually used in combination] // featuring  [having as a feature] // having // involving // withal  [postpos.]  [archaic] </td><td>with</td></tr><tr><td>fünfhundert</td><td>five hundred </td><td>five hundred</td></tr><tr><td>Mark?</td><td></td><td>Mark ?</td></tr></table>	[sound:lola-001034138-001037068.mp4]
Danke.	Danke.	Danke.	Thank you.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Danke.</td><td>Cheers! [esp. Br.] [coll.] // Ta, gov'ner. [Br.] [Cockney] // Ta, love! [Br.] // Thankee! [dialect] // Thanks! // Thank you! // Thanx! [spv.] // Ta. [Br.] [Aus.] [coll.] </td><td>Thank you.</td></tr></table>	[sound:lola-001053051-001054641.mp4]
Ihre Karte!	___ Karte!	<span class="learn">Ihre</span> Karte!	Your card!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ihre</td><td></td><td>their</td></tr><tr><td>Karte!</td><td></td><td>Map !</td></tr></table>	[sound:lola-001066293-001067693.mp4]
Ich muss jetzt los. Der Meier kommt gleich.	Ich ___ jetzt ___ Der ___ ___ ___	Ich <span class="learn">muss</span> jetzt <span class="learn">los.</span> Der <span class="learn">Meier</span> <span class="learn">kommt</span> <span class="learn">gleich.</span>	I have to go now . Meier is the same.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>muss</td><td></td><td>must</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>los.</td><td>a granel // in bulk // loosely // unconsolidated </td><td>going on.</td></tr><tr><td>Der</td><td></td><td>the</td></tr><tr><td>Meier</td><td></td><td>Meier</td></tr><tr><td>kommt</td><td></td><td>comes</td></tr><tr><td>gleich.</td><td>equally // resembles </td><td>same.</td></tr></table>	[sound:lola-001088476-001091676.mp4]
Können wir uns nicht später sehen?	___ ___ ___ nicht später sehen?	<span class="learn">Können</span> <span class="learn">wir</span> <span class="learn">uns</span> nicht später sehen?	Can not we see later ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Können</td><td></td><td>be able</td></tr><tr><td>wir</td><td>we </td><td>we</td></tr><tr><td>uns</td><td>ourselves [direct / indirect object] // us [direct and indirect object] </td><td>to us</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>später</td><td>afterwards // at a later date // at a later time // eventual // later <L8R> // later // later on // posterior // subsequent // subsequently </td><td>subsequently</td></tr><tr><td>sehen?</td><td></td><td>see?</td></tr></table>	[sound:lola-001096187-001098587.mp4]
- Liebst du mich? - Was?	-  ___ du mich? -  Was?	- <span class="learn">Liebst</span> du mich? - Was?	Do you love me ?  What?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Liebst</td><td></td><td>love</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>mich?</td><td></td><td>me?</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Was?</td><td>Huh? [coll.] // What? [Roman Polanski] </td><td>What?</td></tr></table>	[sound:lola-001099787-001102557.mp4]
Liebst du mich?	___ du mich?	<span class="learn">Liebst</span> du mich?	Do you love me ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Liebst</td><td></td><td>love</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>mich?</td><td></td><td>me?</td></tr></table>	[sound:lola-001102627-001104717.mp4]
Warum fragste denn das jetzt?	___ fragste denn das jetzt?	<span class="learn">Warum</span> fragste denn das jetzt?	Why fragste now?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Warum</td><td></td><td>Why</td></tr><tr><td>fragste</td><td></td><td>fragste</td></tr><tr><td>denn</td><td>'cause  [coll.] [because] // because // cos  [Br.]  [coll.] [because] // for  [since] // in as much as // since  [because] </td><td>because</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>jetzt?</td><td></td><td>Now?</td></tr></table>	[sound:lola-001104798-001106918.mp4]
Liebst du mich?	___ du mich?	<span class="learn">Liebst</span> du mich?	Do you love me ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Liebst</td><td></td><td>love</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>mich?</td><td></td><td>me?</td></tr></table>	[sound:lola-001106998-001109488.mp4]
Ja, verdammt.	Ja, ___	Ja, <span class="learn">verdammt.</span>	Yes , damn it.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ja,</td><td></td><td>Yes ,</td></tr><tr><td>verdammt.</td><td></td><td>damn .</td></tr></table>	[sound:lola-001109558-001111718.mp4]
Dann entscheide dich.	Dann entscheide ___	Dann entscheide <span class="learn">dich.</span>	Then opt .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dann</td><td></td><td>then</td></tr><tr><td>entscheide</td><td></td><td>decide</td></tr><tr><td>dich.</td><td>close // closely // concrete [solid, compact] // consistent // consolidated // densely // dense  [thick, compact] // impermeable // leak-proof // leakproof // luxuriantly  [thickly] // luxuriant  [forest, beard, hair] // solid // thickset [densely planted or placed] // tight // tightly </td><td>yourself .</td></tr></table>	[sound:lola-001112699-001114789.mp4]
Aber doch nicht jetzt.	___ doch nicht jetzt.	<span class="learn">Aber</span> doch nicht jetzt.	But not now .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Aber</td><td></td><td>however</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>jetzt.</td><td></td><td>right now.</td></tr></table>	[sound:lola-001114859-001116329.mp4]
Irgendwann muss es sein.	___ ___ es ___	<span class="learn">Irgendwann</span> <span class="learn">muss</span> es <span class="learn">sein.</span>	At some point it needs to be.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Irgendwann</td><td></td><td>sometime</td></tr><tr><td>muss</td><td></td><td>must</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>sein.</td><td></td><td>be .</td></tr></table>	[sound:lola-001116399-001119229.mp4]
Aber warum denn ausgerechnet jetzt, hier, sofort?	___ ___ denn ausgerechnet jetzt, ___ ___	<span class="learn">Aber</span> <span class="learn">warum</span> denn ausgerechnet jetzt, <span class="learn">hier,</span> <span class="learn">sofort?</span>	But why just now , here , now ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Aber</td><td></td><td>however</td></tr><tr><td>warum</td><td>forwhy [archaic] [why] // why </td><td>why</td></tr><tr><td>denn</td><td>'cause  [coll.] [because] // because // cos  [Br.]  [coll.] [because] // for  [since] // in as much as // since  [because] </td><td>because</td></tr><tr><td>ausgerechnet</td><td>calculated // just // of all things </td><td>of all</td></tr><tr><td>jetzt,</td><td></td><td>now ,</td></tr><tr><td>hier,</td><td></td><td>here</td></tr><tr><td>sofort?</td><td></td><td>immediately ?</td></tr></table>	[sound:lola-001119300-001122130.mp4]
